湖北酒店频道,#genre#
今日DJ,https://vd4.bdstatic.com/mda-pjn3sa7dmtyshen0/sc/cae_h264/1698033977064729599/mda-pjn3sa7dmtyshen0.mp4
随州综合,http://34766.hlsplay.aodianyun.com/guangdianyun_34766/tv_channel_304.m3u8?auth_key=4836074354-0-0-d3ae3e237ae5fdaa7e72d8b930ff507b&extra_key=q_KhUzRNviTQMw35AK7VUOsxUuO3fkLbRbWjHBywJErK0zgP7mqTsFvo50t7UieqiF-pvnPCIMJa5QdRQ1gLPBYWz9HOG7TAdI5vRG232V88z98QUcOS1P6iUQbACyEaoEVKLRe_Am23Ezeahvwg0pDBetjQHrLPx7P8mro2vqw15rvUQKLSF-HBByajerez
随州农村,http://34766.hlsplay.aodianyun.com/guangdianyun_34766/tv_channel_305.m3u8?auth_key=4834621829-0-0-49c63c7de26b595a9177e498db618f79&extra_key=xQtKveJFBYYdE5xPP5Qc5y3qlfhlj-BcHOcbWxez9NxCHHoFi0Lp44BN8aqi2_k9URCU-rsf8mQz8CYifgEaMzixzi63CT1KgCDexQ0cD5X0e0lUMZaQy0DMOXcFpW1Cf9zn7psgSNcUQiA2OGcxi7TXk-_FyDGcu767szWh8SQJ0Vr0uNRbiqE2jzk7ICiX
CCTV-1综合HD,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-2财经HD,http://58.19.38.162:9901/tsfile/live/1001_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-3综艺HD,http://58.19.38.162:9901/tsfile/live/1002_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-4中文国际HD,http://58.19.38.162:9901/tsfile/live/1003_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-5体育HD,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-6电影HD,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-7国防军事HD,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-8电视剧HD,http://58.19.38.162:9901/tsfile/live/1007_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-9纪录HD,http://58.19.38.162:9901/tsfile/live/1008_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-10科教HD,http://58.19.38.162:9901/tsfile/live/1009_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-11戏曲HD,http://58.19.38.162:9901/tsfile/live/1010_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-12社会与法HD,http://58.19.38.162:9901/tsfile/live/1011_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-13新闻HD,http://58.19.38.162:9901/tsfile/live/1012_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-14少儿HD,http://58.19.38.162:9901/tsfile/live/1013_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-15音乐,http://58.19.38.162:9901/tsfile/live/0015_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV5+体育赛事HD,http://58.19.38.162:9901/tsfile/live/1014_1.m3u8?key=tvbox6_com&playlive=1&authid=0
湖北卫视HD,http://58.19.38.162:9901/tsfile/live/1015_1.m3u8?key=tvbox6_com&playlive=1&authid=0
湖南卫视HD,http://58.19.38.162:9901/tsfile/live/1016_1.m3u8?key=tvbox6_com&playlive=1&authid=0
北京卫视HD,http://58.19.38.162:9901/tsfile/live/1017_1.m3u8?key=tvbox6_com&playlive=1&authid=0
东方卫视HD,http://58.19.38.162:9901/tsfile/live/1018_1.m3u8?key=tvbox6_com&playlive=1&authid=0
江苏卫视HD,http://58.19.38.162:9901/tsfile/live/1019_1.m3u8?key=tvbox6_com&playlive=1&authid=0
浙江卫视HD,http://58.19.38.162:9901/tsfile/live/1020_1.m3u8?key=tvbox6_com&playlive=1&authid=0
安徽卫视HD,http://58.19.38.162:9901/tsfile/live/1021_1.m3u8?key=tvbox6_com&playlive=1&authid=0
广东卫视HD,http://58.19.38.162:9901/tsfile/live/1022_1.m3u8?key=tvbox6_com&playlive=1&authid=0
深圳卫视HD,http://58.19.38.162:9901/tsfile/live/1023_1.m3u8?key=tvbox6_com&playlive=1&authid=0
天津卫视HD,http://58.19.38.162:9901/tsfile/live/1024_1.m3u8?key=tvbox6_com&playlive=1&authid=0
山东卫视HD,http://58.19.38.162:9901/tsfile/live/1025_1.m3u8?key=tvbox6_com&playlive=1&authid=0
河南卫视HD,http://58.19.38.162:9901/tsfile/live/1026_1.m3u8?key=tvbox6_com&playlive=1&authid=0
辽宁卫视HD,http://58.19.38.162:9901/tsfile/live/1027_1.m3u8?key=tvbox6_com&playlive=1&authid=0
东南卫视HD,http://58.19.38.162:9901/tsfile/live/1028_1.m3u8?key=tvbox6_com&playlive=1&authid=0
